Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Christine Vaughan,64,108000000.0,168790306.15,Long-term,high,Under 5 year
Erika Boone,27,51000000.0,102657822.73,Long-term,low,Under 1 year
Laura Martin MD,65,49000000.0,108301988.29,Medium-term,low,Under 2 year
Jessica Perez,58,32000000.0,54668615.53,Medium-term,medium,Under 8 year
Joshua Hernandez,45,144000000.0,241324607.0,Short-term,medium,Under 4 year
Cynthia Warren MD,34,20000000.0,57588353.11,Medium-term,low,Under 0 year
Steven Merritt,22,56000000.0,137442414.97,Long-term,low,Under 0 year
Allison Barker,40,44000000.0,124327338.48,Long-term,high,Under 6 year
Christopher Wells,20,138000000.0,255222186.6,Short-term,medium,Under 7 year
Reginald Stevens,58,147000000.0,356102713.74,Long-term,medium,Under 5 year
Larry Gill,62,116000000.0,273176616.98,Medium-term,high,Under 6 year
Ashley Harding,20,140000000.0,241827144.68,Long-term,high,Under 6 year
Nicole Sanchez,56,50000000.0,127074068.78,Long-term,medium,Under 2 year
Rebecca Hall,26,36000000.0,56950748.17,Medium-term,low,Under 2 year
Walter Sampson,41,117000000.0,253961261.86,Medium-term,high,Under 4 year
Diane Edwards,35,64000000.0,126860184.71,Medium-term,low,Under 1 year
Shelley Hernandez,62,70000000.0,206430028.8,Short-term,medium,Under 1 year
Kevin Bush,53,123000000.0,347755232.64,Short-term,low,Under 0 year
Michelle Anderson,58,65000000.0,140825970.09,Medium-term,low,Under 7 year
Martha Hill,34,140000000.0,359699933.56,Medium-term,medium,Under 2 year
Robert Bauer,54,12000000.0,28800999.46,Short-term,low,Under 4 year
Teresa Romero,41,56000000.0,110819304.01,Short-term,low,Under 1 year
Tanya Thornton,62,49000000.0,85900176.69,Medium-term,high,Under 8 year
Sara Brown,31,78000000.0,151186632.03,Short-term,high,Under 4 year
Kylie Rodriguez,59,88000000.0,155300249.61,Medium-term,low,Under 3 year
Isabella Buck,59,119000000.0,305579928.92,Short-term,low,Under 1 year
Jason Robinson,32,39000000.0,96758462.47,Short-term,high,Under 2 year
Jeanne Rice,44,147000000.0,347751187.74,Medium-term,high,Under 2 year
Taylor Todd,62,69000000.0,190514705.38,Medium-term,high,Under 5 year
Makayla Johnson,31,118000000.0,353005434.05,Medium-term,medium,Under 4 year
Katrina Beard,36,34000000.0,100803923.91,Short-term,low,Under 1 year
Jonathan Hopkins,54,136000000.0,229115101.06,Short-term,medium,Under 7 year
Michael Clark PhD,36,85000000.0,252337948.11,Long-term,high,Under 9 year
Jared Morrison,25,66000000.0,149951735.53,Short-term,medium,Under 5 year
David Jennings,49,102000000.0,226070220.85,Short-term,high,Under 1 year
Andrew Rodriguez,25,111000000.0,205392554.67,Long-term,high,Under 1 year
Maureen Larson,62,126000000.0,356698109.7,Short-term,medium,Under 6 year
Autumn Torres,64,95000000.0,180753198.17,Short-term,high,Under 9 year
Jonathan Johnson,45,17000000.0,47681438.38,Medium-term,low,Under 2 year
Robert Ortiz,27,126000000.0,318786243.51,Medium-term,low,Under 0 year
Anthony Gross,56,125000000.0,332441180.61,Short-term,medium,Under 7 year
John Contreras,44,55000000.0,96071019.29,Short-term,high,Under 0 year
Tracie Edwards,55,14000000.0,36986018.61,Long-term,low,Under 5 year
Ronald Green,34,68000000.0,182526998.9,Medium-term,medium,Under 2 year
Thomas Riley,50,127000000.0,303542952.91,Short-term,medium,Under 3 year
Brenda Barber,36,84000000.0,179629477.51,Medium-term,high,Under 0 year
Timothy Vaughn,65,31000000.0,91560887.7,Short-term,high,Under 2 year
Dr. Mary Daniels,18,13000000.0,33011447.26,Long-term,high,Under 1 year
Angela Taylor,53,132000000.0,339309285.49,Long-term,high,Under 5 year
Kimberly Pierce,26,79000000.0,203811251.74,Short-term,medium,Under 5 year
Joseph Holland,23,91000000.0,172746927.89,Long-term,low,Under 7 year
Denise Romero,40,98000000.0,157017292.04,Long-term,low,Under 6 year
Eric White,46,89000000.0,242231214.92,Short-term,high,Under 5 year
William Jones,40,36000000.0,55943179.69,Short-term,medium,Under 7 year
Dawn Kirk,60,4000000.0,11393440.05,Short-term,medium,Under 5 year
Marilyn Perez,59,89000000.0,204769875.31,Medium-term,low,Under 8 year
Valerie Wilson,64,74000000.0,196951180.51,Short-term,high,Under 3 year
Benjamin Trujillo,20,139000000.0,280070982.84,Medium-term,medium,Under 6 year
Isaiah Noble,48,105000000.0,294054911.81,Medium-term,low,Under 3 year
Tim Palmer,64,54000000.0,140783032.95,Short-term,high,Under 5 year
Stacey Young,25,96000000.0,196039933.27,Short-term,low,Under 0 year
Robert Miller,58,127000000.0,265013958.22,Long-term,high,Under 0 year
Courtney Warner,52,14000000.0,39446265.04,Long-term,high,Under 2 year
Crystal Ramos,32,32000000.0,59753783.02,Medium-term,high,Under 7 year
Jason Donovan,48,39000000.0,90554288.0,Short-term,medium,Under 7 year
Amanda Cole,37,42000000.0,73238007.4,Long-term,medium,Under 1 year
Jason Adams,19,119000000.0,340720596.66,Long-term,high,Under 3 year
Albert Figueroa,53,89000000.0,240915208.43,Long-term,high,Under 0 year
Michael Brooks,46,78000000.0,117683957.82,Short-term,high,Under 7 year
Cody Escobar,38,56000000.0,135266724.4,Short-term,low,Under 9 year
Joshua Hill,35,93000000.0,226181663.32,Long-term,medium,Under 6 year
Kathy Morrison,39,44000000.0,117514145.39,Medium-term,low,Under 3 year
John Khan,54,135000000.0,343519609.43,Long-term,high,Under 2 year
Jennifer Villanueva,21,108000000.0,245761226.97,Short-term,low,Under 7 year
Christina Bradley,26,85000000.0,198999232.34,Long-term,high,Under 9 year
Casey Pace,45,29000000.0,53485546.82,Medium-term,low,Under 9 year
Joseph Stein,55,20000000.0,58706719.32,Short-term,low,Under 0 year
Kelsey Watson,24,88000000.0,211603984.9,Long-term,medium,Under 2 year
Olivia Smith,56,135000000.0,364184002.5,Short-term,low,Under 6 year
Jacqueline Wolf,36,62000000.0,101113326.86,Long-term,low,Under 9 year
Charles Wood,47,38000000.0,102563431.58,Short-term,medium,Under 1 year
Denise Nunez,42,112000000.0,270045200.18,Short-term,low,Under 7 year
Wesley Horton,29,129000000.0,226150601.49,Short-term,medium,Under 9 year
Stuart Garcia,57,137000000.0,279347783.69,Long-term,medium,Under 4 year
Joann Williams,59,116000000.0,271393672.53,Long-term,low,Under 4 year
Kevin Hernandez,35,128000000.0,204346665.66,Medium-term,low,Under 3 year
Kara Jacobs,64,33000000.0,71691423.86,Medium-term,medium,Under 4 year
Randy Moon,36,97000000.0,213308937.74,Long-term,medium,Under 3 year
Charles Elliott,35,63000000.0,109335861.5,Medium-term,high,Under 1 year
Jason Sharp,28,64000000.0,168940341.91,Short-term,medium,Under 6 year
Dr. Jeff Pitts,61,69000000.0,138110818.48,Long-term,low,Under 3 year
Ricky Fowler,25,103000000.0,238790523.88,Long-term,medium,Under 2 year
Cynthia King,40,52000000.0,111924096.16,Long-term,high,Under 1 year
William Hendrix,60,46000000.0,86424014.32,Long-term,high,Under 0 year
Phillip Lucas,49,91000000.0,241543195.63,Medium-term,low,Under 2 year
Patrick Williams,20,5000000.0,14043579.31,Medium-term,high,Under 0 year
Andrea Adams,19,60000000.0,176100851.26,Short-term,high,Under 5 year
Russell Rios,48,56000000.0,155658549.29,Long-term,high,Under 6 year
Dana Jones,60,50000000.0,142229106.6,Long-term,medium,Under 3 year
Mrs. Patricia Gates,58,34000000.0,73542498.74,Long-term,high,Under 6 year
Jasmine Rhodes,62,150000000.0,334221765.83,Long-term,medium,Under 4 year
John Carlson,65,93000000.0,187209400.44,Short-term,medium,Under 8 year
Brian Valdez,54,46000000.0,134488911.87,Medium-term,medium,Under 1 year
Corey Taylor,50,119000000.0,198670989.29,Long-term,low,Under 7 year
Jacob Anderson,49,57000000.0,158729946.3,Long-term,low,Under 7 year
John Brennan,49,78000000.0,183296441.99,Long-term,medium,Under 0 year
Tracy Cooper,29,40000000.0,77094185.98,Short-term,medium,Under 2 year
Michael Jensen,36,43000000.0,127497152.64,Long-term,high,Under 1 year
Monique Jones,63,146000000.0,299570870.1,Medium-term,medium,Under 9 year
Samuel Patterson,48,100000000.0,191843239.98,Long-term,high,Under 8 year
Steven David,31,49000000.0,74298333.12,Short-term,high,Under 4 year
James Thompson,29,127000000.0,295533465.11,Short-term,high,Under 4 year
Lindsey Fry,27,145000000.0,218016341.4,Long-term,low,Under 9 year
Carla Meyer,20,119000000.0,224354204.36,Medium-term,medium,Under 8 year
Denise Jenkins,44,149000000.0,345722609.47,Short-term,low,Under 7 year
Sylvia Lyons DDS,34,40000000.0,79703119.73,Short-term,low,Under 5 year
Erika Johnson,63,58000000.0,165380241.95,Long-term,high,Under 0 year
Jeffrey Anderson,50,17000000.0,40019820.1,Long-term,medium,Under 1 year
Andrew Morris,20,78000000.0,181826914.34,Short-term,high,Under 9 year
Sabrina Johnson,55,62000000.0,94776964.12,Medium-term,high,Under 7 year
Kevin Martinez,52,68000000.0,143965245.87,Medium-term,low,Under 3 year
Catherine King,63,134000000.0,381905813.15,Long-term,medium,Under 7 year
William Davis,36,131000000.0,290945063.48,Short-term,medium,Under 2 year
Tommy Harrington,22,129000000.0,250540130.39,Short-term,high,Under 1 year
Jose Nunez,33,44000000.0,88020673.23,Long-term,high,Under 7 year
Diane Barber,21,19000000.0,47187401.04,Medium-term,medium,Under 6 year
Shannon Martinez,65,96000000.0,250072936.65,Medium-term,medium,Under 4 year
Manuel Hall,52,122000000.0,273947245.25,Medium-term,low,Under 4 year
Mary Ward,55,138000000.0,323985294.23,Short-term,low,Under 3 year
Eric Johnson,50,141000000.0,340699479.46,Long-term,medium,Under 5 year
Amber Miller,59,119000000.0,353507417.4,Long-term,medium,Under 9 year
Haley Smith,58,66000000.0,117747177.71,Short-term,low,Under 4 year
Melissa Baker,39,107000000.0,179952441.77,Medium-term,medium,Under 4 year
Nicholas Martin MD,46,62000000.0,127998425.14,Long-term,high,Under 3 year
Roger Cantu,42,100000000.0,156201988.19,Short-term,low,Under 4 year
Matthew Baldwin,24,20000000.0,31004853.1,Long-term,medium,Under 1 year
Kelly Klein,65,63000000.0,184458383.58,Medium-term,low,Under 7 year
Jeremy Wilson,21,109000000.0,214272693.23,Long-term,medium,Under 6 year
Timothy Blackwell,42,102000000.0,182806899.1,Short-term,high,Under 9 year
Brandon Wood,22,45000000.0,82693649.29,Medium-term,low,Under 0 year
Susan Bowman,35,83000000.0,204117713.17,Medium-term,low,Under 2 year
Lauren Lane,24,17000000.0,44321905.75,Medium-term,high,Under 3 year
Eric Brown,30,131000000.0,276300570.87,Medium-term,high,Under 0 year
Howard Lamb,34,91000000.0,265468640.52,Short-term,high,Under 1 year
Katie Weber,50,2000000.0,5963025.67,Short-term,high,Under 5 year
Jennifer Taylor,39,103000000.0,202567136.67,Medium-term,high,Under 8 year
Jared Schroeder,49,36000000.0,64794244.47,Long-term,low,Under 5 year
Jacqueline King,20,112000000.0,276024179.6,Medium-term,medium,Under 3 year
Scott Olson,55,60000000.0,105799326.58,Short-term,low,Under 3 year
Amanda Ford,58,101000000.0,202371502.84,Short-term,medium,Under 5 year
Sarah Miles,58,10000000.0,26266418.14,Short-term,medium,Under 5 year
Samuel Hubbard,42,99000000.0,286710952.23,Medium-term,low,Under 2 year
Andrew Lee,42,132000000.0,358542667.84,Short-term,high,Under 5 year
Ryan Jenkins,39,96000000.0,271427680.04,Medium-term,medium,Under 2 year
Sean Allen,45,141000000.0,372880998.23,Short-term,low,Under 1 year
James Mccann,57,121000000.0,308414118.8,Medium-term,medium,Under 7 year
Tina Gonzales,57,81000000.0,206886964.67,Long-term,high,Under 0 year
Kara Blair,50,63000000.0,101517483.3,Medium-term,high,Under 0 year
Megan Knight,21,35000000.0,66799826.31,Short-term,high,Under 8 year
Julie Oconnor,47,2000000.0,3285771.44,Medium-term,medium,Under 3 year
Margaret Washington,44,35000000.0,77641419.71,Medium-term,high,Under 1 year
Nancy Strong,59,72000000.0,184417076.76,Medium-term,high,Under 9 year
Peter Mills,50,148000000.0,257919589.83,Short-term,medium,Under 2 year
Robert Jimenez,46,42000000.0,88218967.29,Long-term,low,Under 4 year
Randy Jones,21,63000000.0,138767683.63,Medium-term,high,Under 7 year
Kathryn Lee,27,28000000.0,49047683.2,Short-term,medium,Under 7 year
Chelsea Calderon,33,90000000.0,230955955.98,Long-term,low,Under 4 year
Jordan Thomas,24,69000000.0,179643023.99,Long-term,high,Under 1 year
Jason Hines,65,149000000.0,290662790.23,Long-term,high,Under 8 year
Dillon Nguyen,29,102000000.0,298147226.68,Medium-term,medium,Under 6 year
Shannon Carter,24,115000000.0,259511645.04,Short-term,low,Under 6 year
Lindsay Potter,61,1000000.0,2998486.12,Short-term,low,Under 6 year
Tiffany Soto,54,109000000.0,211938154.73,Medium-term,high,Under 4 year
Tracy Whitney,50,35000000.0,70195417.36,Medium-term,high,Under 2 year
Michelle Lopez,49,90000000.0,269122348.55,Medium-term,high,Under 6 year
Charles Smith,62,49000000.0,98784360.96,Short-term,medium,Under 1 year
Angela Abbott,22,16000000.0,24461795.38,Short-term,medium,Under 3 year
Cynthia Porter,43,146000000.0,399513146.41,Long-term,high,Under 6 year
Billy Bennett,41,54000000.0,115727417.22,Short-term,medium,Under 6 year
Lauren Martinez,32,70000000.0,120917639.39,Long-term,low,Under 9 year
Megan Williams,26,93000000.0,244558626.62,Short-term,high,Under 4 year
James Garcia,60,100000000.0,162234229.62,Short-term,high,Under 8 year
Joyce Brown,64,81000000.0,211197442.07,Long-term,low,Under 3 year
Michael Sullivan,29,144000000.0,290229135.93,Long-term,high,Under 5 year
James Garrett,28,26000000.0,52917736.04,Short-term,high,Under 2 year
Gary Mcdowell,22,70000000.0,197617050.48,Long-term,low,Under 7 year
Sarah Butler,57,24000000.0,45159983.59,Medium-term,medium,Under 4 year
Brittany Lopez,52,27000000.0,68195488.49,Medium-term,high,Under 9 year
Charles Hoffman,48,116000000.0,224061671.41,Long-term,low,Under 0 year
Jason Jackson,39,43000000.0,78294641.26,Short-term,high,Under 8 year
John Johnson,48,30000000.0,46017675.9,Long-term,low,Under 3 year
Kyle Johnson,18,128000000.0,226897469.8,Medium-term,low,Under 8 year
Michael Gonzalez,35,40000000.0,73209261.77,Long-term,low,Under 3 year
Sean Lucas,42,133000000.0,314165933.9,Long-term,high,Under 8 year
Jane Craig,18,105000000.0,292373298.19,Short-term,low,Under 0 year
Kyle Sims,42,145000000.0,383839667.73,Medium-term,medium,Under 1 year
James Reyes,51,53000000.0,136462795.71,Long-term,low,Under 7 year
Teresa Hoffman,51,9000000.0,24529058.81,Short-term,low,Under 2 year
Heidi Smith,20,112000000.0,208949823.98,Long-term,medium,Under 3 year
James Smith,35,66000000.0,145186081.13,Medium-term,low,Under 2 year
Theresa Long,44,81000000.0,230190039.81,Short-term,low,Under 6 year
Matthew Brown,62,70000000.0,157424368.26,Long-term,low,Under 4 year
Carol Holden,38,117000000.0,299778355.02,Medium-term,high,Under 7 year
Kimberly Grant,32,125000000.0,362272521.33,Medium-term,medium,Under 3 year
Mrs. Sarah Shepard,38,26000000.0,42007134.43,Long-term,high,Under 4 year
Jessica Simmons,61,113000000.0,246447562.96,Short-term,high,Under 0 year
Jessica Salas,24,66000000.0,143061855.89,Short-term,high,Under 5 year
James Larson,36,105000000.0,160228493.34,Medium-term,medium,Under 2 year
Mariah Shannon,23,22000000.0,51707624.16,Medium-term,medium,Under 3 year
Justin Lewis,42,146000000.0,416477591.59,Long-term,medium,Under 8 year
Dr. Theresa Warren,48,47000000.0,75224750.1,Long-term,high,Under 8 year
Jonathan George,61,19000000.0,51019627.1,Long-term,medium,Under 4 year
Cindy Rodriguez,18,68000000.0,102666383.93,Medium-term,low,Under 6 year
Bethany Howell,33,84000000.0,243538011.77,Medium-term,medium,Under 6 year
Justin Glover,25,50000000.0,145942083.91,Short-term,high,Under 6 year
Timothy Richmond,25,136000000.0,325435848.15,Medium-term,low,Under 9 year
Jeffery Hanna,40,19000000.0,55180788.29,Long-term,low,Under 9 year
Mr. Scott Hart MD,28,82000000.0,239324077.05,Short-term,low,Under 5 year
Monica Smith,44,25000000.0,45589517.34,Long-term,medium,Under 8 year
Michael Aguilar,53,61000000.0,106470616.81,Medium-term,low,Under 7 year
Paula Delgado,37,111000000.0,179102512.59,Short-term,high,Under 6 year
Victoria Barnes,33,70000000.0,206797854.87,Medium-term,high,Under 0 year
Christine Brooks MD,61,120000000.0,302106642.27,Long-term,low,Under 8 year
Courtney Jones,26,21000000.0,36839713.74,Short-term,medium,Under 1 year
Sarah Roberson,22,52000000.0,128577376.83,Short-term,low,Under 1 year
Michelle Bailey,55,140000000.0,360738405.47,Short-term,low,Under 1 year
Jessica Austin,61,70000000.0,121654729.73,Medium-term,high,Under 6 year
Jennifer Silva,57,132000000.0,333884476.6,Short-term,high,Under 1 year
Ashley Collins,65,137000000.0,228788515.0,Short-term,medium,Under 5 year
Christopher Nunez,25,3000000.0,5753874.02,Long-term,medium,Under 3 year
Johnny Berger,28,102000000.0,166145917.54,Short-term,low,Under 1 year
Barbara Flowers,60,149000000.0,289956232.9,Medium-term,high,Under 0 year
James Martin,20,39000000.0,89181379.55,Medium-term,high,Under 0 year
Ms. Ashley Wong,39,145000000.0,376911838.66,Long-term,high,Under 8 year
Michael Shaw,52,48000000.0,92828797.43,Long-term,high,Under 2 year
Randall Leach,65,80000000.0,157663803.39,Medium-term,high,Under 0 year
Angel Lambert,51,124000000.0,339288349.02,Medium-term,medium,Under 7 year
Denise Chavez,31,143000000.0,356110622.59,Medium-term,low,Under 3 year
Jacob James,60,120000000.0,351124041.04,Short-term,medium,Under 3 year
Sara Cooper,29,143000000.0,238774225.19,Medium-term,low,Under 2 year
Robin Hancock,40,4000000.0,10188194.09,Short-term,high,Under 1 year
Michael Mills,34,37000000.0,55985755.02,Short-term,medium,Under 2 year
Erica Frazier,57,117000000.0,311660705.47,Medium-term,high,Under 1 year
Duane Wilson,33,139000000.0,221515749.51,Short-term,high,Under 2 year
Charles Scott,58,75000000.0,138034617.96,Short-term,medium,Under 1 year
James Berry,51,150000000.0,317553634.63,Long-term,high,Under 7 year
Ryan Love,50,9000000.0,19660326.94,Medium-term,medium,Under 5 year
Paula Simmons,63,150000000.0,264755224.22,Short-term,high,Under 8 year
Christopher Cuevas,47,101000000.0,159696781.25,Medium-term,high,Under 4 year
Angela Grant,40,139000000.0,396710885.46,Long-term,low,Under 0 year
Christopher Martinez,45,87000000.0,154527010.01,Medium-term,low,Under 3 year
Karen Hale,27,49000000.0,120657698.15,Long-term,high,Under 6 year
Danny Cohen,48,94000000.0,267231846.31,Long-term,high,Under 4 year
Edwin Young,55,148000000.0,328672568.5,Short-term,low,Under 4 year
Douglas Morris,22,148000000.0,307375389.37,Long-term,low,Under 3 year
Kimberly Russell,43,103000000.0,212732517.41,Short-term,high,Under 3 year
Timothy Butler,44,61000000.0,161092017.64,Long-term,high,Under 7 year
Sabrina Thomas,41,3000000.0,5417128.21,Long-term,low,Under 8 year
Tara Fisher,39,146000000.0,303943299.08,Long-term,medium,Under 1 year
Joel Nelson,24,19000000.0,52001479.89,Short-term,high,Under 1 year
Michele Gordon,38,96000000.0,163735361.48,Short-term,low,Under 0 year
Keith Tucker,32,79000000.0,119841572.71,Medium-term,high,Under 9 year
Darryl Cross,20,49000000.0,98713058.66,Short-term,low,Under 2 year
Susan Gibson,38,90000000.0,214958541.76,Medium-term,medium,Under 7 year
Lisa Griffith,58,57000000.0,151531462.38,Medium-term,low,Under 9 year
Mrs. Alicia Powell,38,1000000.0,2963154.08,Short-term,medium,Under 0 year
Derrick Rivera,32,120000000.0,334556679.33,Medium-term,low,Under 2 year
Laura Edwards,39,20000000.0,58711164.65,Medium-term,high,Under 3 year
Patricia Craig,53,75000000.0,114860119.34,Long-term,low,Under 7 year
Keith Martinez,52,55000000.0,112278494.58,Medium-term,low,Under 0 year
Joanna Costa,35,57000000.0,164560618.15,Long-term,high,Under 6 year
Alvin Brown,19,68000000.0,106135503.97,Short-term,medium,Under 1 year
Billy Sullivan,23,118000000.0,241008253.42,Long-term,medium,Under 1 year
Tyler Blair,47,21000000.0,40554185.1,Long-term,medium,Under 0 year
Nicholas Bates,35,91000000.0,225156779.67,Medium-term,medium,Under 7 year
Jennifer Shelton,44,116000000.0,195378485.91,Medium-term,medium,Under 7 year
Jonathan Moore,47,87000000.0,183931683.18,Long-term,low,Under 7 year
Bobby Morrow,29,97000000.0,172250036.07,Long-term,low,Under 0 year
Shawn Diaz,59,128000000.0,321763995.85,Medium-term,high,Under 4 year
Peter Le,50,15000000.0,24109447.12,Short-term,medium,Under 7 year
Roger Hicks,46,130000000.0,277072435.09,Medium-term,low,Under 0 year
Donna Ochoa,35,88000000.0,197866240.58,Long-term,low,Under 1 year
Diane Santana,50,16000000.0,36679638.4,Short-term,medium,Under 3 year
Lindsay Mitchell,58,141000000.0,248002082.87,Long-term,high,Under 8 year
Darren Oneal,23,63000000.0,166089466.33,Medium-term,medium,Under 3 year
Joseph Holmes,29,65000000.0,133233826.92,Short-term,low,Under 4 year
Ryan Watkins,26,19000000.0,31494065.19,Medium-term,high,Under 9 year
Randall Harris,62,52000000.0,147378935.86,Long-term,low,Under 2 year
Nathaniel Kirk,31,84000000.0,162323092.62,Long-term,high,Under 6 year
Timothy Davis,52,46000000.0,118350615.69,Long-term,medium,Under 2 year
Javier Knight,41,56000000.0,155596373.63,Medium-term,medium,Under 6 year
Chad Ford,19,24000000.0,56234561.53,Long-term,low,Under 8 year
Amy Miller,53,65000000.0,167991561.52,Short-term,medium,Under 0 year
Kurt Morgan,55,61000000.0,161970768.81,Medium-term,medium,Under 1 year
Steven Jones,64,108000000.0,246755663.82,Long-term,medium,Under 6 year
Michael Mason,39,74000000.0,144644630.12,Long-term,high,Under 8 year
Michael Edwards,24,86000000.0,165387029.63,Short-term,high,Under 9 year
Haley Hicks,56,144000000.0,259622134.39,Long-term,medium,Under 7 year
Richard Gregory,48,3000000.0,5998457.58,Long-term,high,Under 9 year
Adrienne Perry,43,75000000.0,221948067.32,Long-term,low,Under 2 year
Wendy Roach,42,71000000.0,162189446.53,Medium-term,high,Under 2 year
Derrick Ward,58,131000000.0,265641423.86,Short-term,high,Under 9 year
Alexandra Anderson,47,60000000.0,152192615.74,Long-term,high,Under 9 year
Kayla Foster,26,80000000.0,201660295.64,Long-term,medium,Under 7 year
Christopher Roberts,35,2000000.0,4697455.77,Long-term,high,Under 0 year
Cheyenne Ramsey,38,44000000.0,130818858.6,Long-term,medium,Under 3 year
Mary Hanson,29,109000000.0,166132815.94,Long-term,high,Under 8 year
Nancy Camacho,31,93000000.0,231276346.98,Medium-term,medium,Under 6 year
Bradley Watkins,64,12000000.0,19227102.94,Long-term,medium,Under 6 year
Stacy Phillips,56,144000000.0,379593075.24,Medium-term,high,Under 9 year
Melinda Mckenzie,36,144000000.0,331835336.5,Short-term,medium,Under 4 year
Gregory Montoya,26,142000000.0,317610379.13,Short-term,high,Under 6 year
Anna Hood,51,12000000.0,22092899.42,Long-term,low,Under 7 year
Jeremy Saunders,23,38000000.0,92050826.77,Short-term,low,Under 1 year
Christopher Mills,25,140000000.0,358192933.39,Long-term,medium,Under 2 year
Stacy Flores,28,30000000.0,88605975.34,Medium-term,medium,Under 2 year
Jenna Lee,62,134000000.0,217169719.4,Long-term,high,Under 5 year
Amy Pierce,55,101000000.0,195806020.33,Long-term,high,Under 0 year
Linda Conway,43,39000000.0,101161213.91,Short-term,high,Under 6 year
Ivan Jones,65,26000000.0,52187763.0,Long-term,low,Under 3 year
Brandy Davis,52,129000000.0,248161815.45,Short-term,low,Under 1 year
Kathleen Davis,36,10000000.0,23709052.26,Medium-term,medium,Under 4 year
Kevin Wilson,33,95000000.0,217968436.3,Long-term,high,Under 6 year
Ryan Young,26,102000000.0,188634466.61,Long-term,medium,Under 9 year
Tracy Moon,40,113000000.0,309643012.33,Medium-term,low,Under 7 year
Christine Cook,60,20000000.0,54863481.44,Short-term,medium,Under 0 year
Mark Fuentes,41,82000000.0,165349417.18,Long-term,high,Under 5 year
Amanda Pearson,46,11000000.0,26576070.43,Long-term,low,Under 7 year
Cynthia Ramos,45,149000000.0,383234923.2,Short-term,low,Under 0 year
Blake Gonzalez,52,89000000.0,186745971.15,Short-term,low,Under 0 year
Michael Gomez,27,2000000.0,5415274.63,Long-term,high,Under 2 year
Scott Higgins,23,44000000.0,102881622.09,Long-term,high,Under 2 year
Cheyenne Allison,34,64000000.0,115170937.25,Short-term,low,Under 2 year
Michael Hawkins,24,6000000.0,10624780.64,Short-term,low,Under 5 year
Seth Martinez,48,101000000.0,152380743.67,Medium-term,high,Under 9 year
Ann Kirk,25,58000000.0,157140535.77,Medium-term,medium,Under 5 year
Deborah Martinez,18,131000000.0,251696853.14,Long-term,low,Under 4 year
Timothy Young,22,80000000.0,225849589.08,Short-term,high,Under 9 year
Timothy Martin,61,144000000.0,410936368.64,Short-term,medium,Under 1 year
Michael Morgan,24,7000000.0,12882488.37,Short-term,medium,Under 0 year
Tammy Shelton,49,3000000.0,8190775.39,Long-term,medium,Under 0 year
Lisa Hardy,19,48000000.0,102515782.99,Medium-term,low,Under 0 year
Donald Santiago,22,149000000.0,289087319.92,Long-term,high,Under 1 year
Julia Myers,40,94000000.0,208739329.62,Long-term,low,Under 4 year
Ashley Kirk,41,20000000.0,43884734.73,Long-term,high,Under 1 year
Christine Morgan,41,68000000.0,125307050.0,Short-term,high,Under 3 year
Robert Poole,63,21000000.0,36508104.81,Long-term,low,Under 1 year
Courtney Reyes,34,47000000.0,102672446.59,Long-term,medium,Under 2 year
Victor Jones,61,50000000.0,94289428.41,Long-term,medium,Under 1 year
Richard Kim,40,43000000.0,94112202.75,Medium-term,low,Under 4 year
Frank Boyd,62,100000000.0,293621280.43,Short-term,high,Under 4 year
Rodney Fischer,33,112000000.0,292964408.76,Long-term,high,Under 3 year
Bryan Patterson,37,75000000.0,164837538.03,Long-term,high,Under 2 year
Tiffany Sexton,18,147000000.0,424389946.4,Short-term,medium,Under 2 year
Anthony Woods,25,100000000.0,212506086.76,Short-term,low,Under 6 year
Rhonda Lam,63,7000000.0,16457726.16,Long-term,medium,Under 2 year
Ryan Henderson,54,147000000.0,388509538.23,Short-term,medium,Under 4 year
Joel Hatfield,36,92000000.0,139016032.91,Medium-term,low,Under 7 year
Jennifer Hughes,57,7000000.0,19763673.09,Medium-term,low,Under 1 year
Denise Perry,23,142000000.0,264877269.39,Medium-term,high,Under 8 year
Adam Sanders,20,49000000.0,75131835.76,Medium-term,medium,Under 2 year
Jennifer Williams,33,67000000.0,104588620.53,Long-term,low,Under 9 year
Rachel Mathews,39,102000000.0,159866692.24,Long-term,low,Under 0 year
Robert Garrett,34,49000000.0,98600925.77,Medium-term,medium,Under 5 year
Matthew Adams,31,53000000.0,82099011.67,Short-term,low,Under 7 year
Patrick Rowland,31,21000000.0,54804593.86,Long-term,low,Under 5 year
Robert Vaughan,59,118000000.0,289179657.23,Long-term,medium,Under 3 year
Sheri Conner,56,90000000.0,147686967.88,Medium-term,medium,Under 0 year
Patrick Klein,48,138000000.0,311556362.0,Long-term,low,Under 4 year
Alexis Holden,62,82000000.0,229096850.68,Medium-term,medium,Under 5 year
Lori Mcdaniel,34,45000000.0,84776721.93,Short-term,high,Under 8 year
Emily Garner,44,97000000.0,166078024.75,Short-term,medium,Under 7 year
Susan Herman,20,61000000.0,177651054.38,Short-term,low,Under 7 year
Tina Summers,42,27000000.0,53344231.14,Short-term,medium,Under 4 year
Regina Williams,45,114000000.0,205372072.64,Medium-term,high,Under 6 year
Judy Mendez,45,2000000.0,4964546.99,Short-term,medium,Under 3 year
Cynthia Dunn,40,47000000.0,81258225.6,Short-term,low,Under 9 year
